11:32:57:896[MetricValue{metricKey='cpuuser', value='86.842105', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='10.526316', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='2.631579', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:32:58:468[MetricValue{metricKey='cpuuser', value='78.431373', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='17.647059', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='3.921569', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:32:59:269[MetricValue{metricKey='cpuuser', value='72.549020', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='27.450980', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:32:59:884[MetricValue{metricKey='cpuuser', value='90.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='8.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='2.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:00:547[MetricValue{metricKey='cpuuser', value='92.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='6.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='2.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:01:142[MetricValue{metricKey='cpuuser', value='73.913043', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='21.739130', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='4.347826', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:01:745[MetricValue{metricKey='cpuuser', value='77.551020', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='12.244898', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='10.204082', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:02:305[MetricValue{metricKey='cpuuser', value='85.714286', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='14.285714', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:02:855[MetricValue{metricKey='cpuuser', value='94.117647', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='5.882353', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:03:408[MetricValue{metricKey='cpuuser', value='86.274510', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='11.764706', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='1.960784', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:03:974[MetricValue{metricKey='cpuuser', value='88.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='12.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:04:529[MetricValue{metricKey='cpuuser', value='93.877551', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='6.122449', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:05:108[MetricValue{metricKey='cpuuser', value='71.739130', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='17.391304', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='2.173913', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='8.695652', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:05:676[MetricValue{metricKey='cpuuser', value='80.851064', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='14.893617', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='2.127660', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='2.127660', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:06:280[MetricValue{metricKey='cpuuser', value='85.106383', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='14.893617', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:06:866[MetricValue{metricKey='cpuuser', value='82.608696', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='17.391304', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:07:419[MetricValue{metricKey='cpuuser', value='86.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='14.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
