11:32:58:468[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:32:59:269[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:32:59:884[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:00:548[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:01:142[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:01:745[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:02:305[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:02:855[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:03:408[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:03:974[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:04:529[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:05:108[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:05:676[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:06:280[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:06:866[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:07:419[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
