11:32:58:468[MetricValue{metricKey='freepct-/', value='24.384559', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923260.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:32:59:268[MetricValue{metricKey='freepct-/', value='24.385027', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923316.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:32:59:884[MetricValue{metricKey='freepct-/', value='24.384926', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923304.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:00:547[MetricValue{metricKey='freepct-/', value='24.384626', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923268.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:01:142[MetricValue{metricKey='freepct-/', value='24.384626', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923268.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:01:745[MetricValue{metricKey='freepct-/', value='24.384626', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923268.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:02:305[MetricValue{metricKey='freepct-/', value='24.384626', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923268.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:02:855[MetricValue{metricKey='freepct-/', value='24.384326', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923232.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:03:408[MetricValue{metricKey='freepct-/', value='24.384326', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923232.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:03:974[MetricValue{metricKey='freepct-/', value='24.383925', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923184.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:04:529[MetricValue{metricKey='freepct-/', value='24.383859', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923176.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:05:108[MetricValue{metricKey='freepct-/', value='24.383759', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923164.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:05:676[MetricValue{metricKey='freepct-/', value='24.383759', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923164.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:06:279[MetricValue{metricKey='freepct-/', value='24.383725', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923160.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:06:866[MetricValue{metricKey='freepct-/', value='24.383692', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923156.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:07:419[MetricValue{metricKey='freepct-/', value='24.383692', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923156.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
