11:33:21:809[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:22:380[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:22:942[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:23:520[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:24:093[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:24:676[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:25:270[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:25:855[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:26:417[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:27:013[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:27:629[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:28:236[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:28:808[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:29:403[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:30:046[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:30:641[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:31:241[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:31:803[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
