11:33:21:809[MetricValue{metricKey='freepct-/', value='24.371914', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2921744.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:22:379[MetricValue{metricKey='freepct-/', value='24.370746', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2921604.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:22:941[MetricValue{metricKey='freepct-/', value='24.370712', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2921600.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:23:519[MetricValue{metricKey='freepct-/', value='24.370612', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2921588.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:24:093[MetricValue{metricKey='freepct-/', value='24.370612', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2921588.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:24:676[MetricValue{metricKey='freepct-/', value='24.370612', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2921588.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:25:270[MetricValue{metricKey='freepct-/', value='24.370612', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2921588.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:25:854[MetricValue{metricKey='freepct-/', value='24.370546', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2921580.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:26:417[MetricValue{metricKey='freepct-/', value='24.370546', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2921580.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:27:013[MetricValue{metricKey='freepct-/', value='24.370512', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2921576.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:27:628[MetricValue{metricKey='freepct-/', value='24.370446', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2921568.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:28:236[MetricValue{metricKey='freepct-/', value='24.370245', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2921544.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:28:808[MetricValue{metricKey='freepct-/', value='24.370245', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2921544.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:29:385[MetricValue{metricKey='freepct-/', value='24.364540', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2920860.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:30:045[MetricValue{metricKey='freepct-/', value='24.363372', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2920720.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:30:641[MetricValue{metricKey='freepct-/', value='24.362237', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2920584.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:31:241[MetricValue{metricKey='freepct-/', value='24.362104', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2920568.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:31:802[MetricValue{metricKey='freepct-/', value='24.360903', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2920424.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
