11:33:21:251[MetricValue{metricKey='cpuuser', value='60.869565', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='23.913043', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='4.347826', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='10.869565', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:21:809[MetricValue{metricKey='cpuuser', value='58.333333', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='20.833333', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='2.083333', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='18.750000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:22:380[MetricValue{metricKey='cpuuser', value='72.916667', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='20.833333', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='6.250000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:22:942[MetricValue{metricKey='cpuuser', value='82.352941', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='9.803922', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='7.843137', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:23:520[MetricValue{metricKey='cpuuser', value='79.166667', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='16.666667', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='4.166667', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:24:093[MetricValue{metricKey='cpuuser', value='75.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='22.916667', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='2.083333', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:24:676[MetricValue{metricKey='cpuuser', value='75.510204', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='24.489796', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:25:270[MetricValue{metricKey='cpuuser', value='73.469388', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='22.448980', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='4.081633', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:25:855[MetricValue{metricKey='cpuuser', value='66.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='28.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='6.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:26:417[MetricValue{metricKey='cpuuser', value='84.313725', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='13.725490', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='1.960784', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:27:013[MetricValue{metricKey='cpuuser', value='75.510204', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='22.448980', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='2.040816', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:27:629[MetricValue{metricKey='cpuuser', value='65.957447', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='27.659574', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='6.382979', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:28:236[MetricValue{metricKey='cpuuser', value='74.468085', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='23.404255', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='2.127660', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:28:808[MetricValue{metricKey='cpuuser', value='78.431373', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='21.568627', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:29:402[MetricValue{metricKey='cpuuser', value='46.808511', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='27.659574', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='4.255319', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='21.276596', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:30:046[MetricValue{metricKey='cpuuser', value='53.191489', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='27.659574', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='2.127660', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='17.021277', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:30:641[MetricValue{metricKey='cpuuser', value='61.904762', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='28.571429', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='2.380952', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='7.142857', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:31:241[MetricValue{metricKey='cpuuser', value='68.181818', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='20.454545', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='9.090909', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='2.272727', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:31:803[MetricValue{metricKey='cpuuser', value='73.469388', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='24.489796', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='2.040816', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
