11:33:08:502[MetricValue{metricKey='load1', value='2.420000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.850000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.450000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:09:120[MetricValue{metricKey='load1', value='2.420000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.850000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.450000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:09:716[MetricValue{metricKey='load1', value='2.420000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.850000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.450000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:10:278[MetricValue{metricKey='load1', value='2.460000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.880000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.460000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:10:862[MetricValue{metricKey='load1', value='2.460000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.880000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.460000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:11:509[MetricValue{metricKey='load1', value='2.460000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.880000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.460000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:12:146[MetricValue{metricKey='load1', value='2.460000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.880000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.460000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:12:762[MetricValue{metricKey='load1', value='2.460000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.880000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.460000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:13:463[MetricValue{metricKey='load1', value='2.460000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.880000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.460000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
