11:33:08:502[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:09:120[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:09:716[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:10:278[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:10:863[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:11:509[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:12:146[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:12:762[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:13:464[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
