11:33:08:502[MetricValue{metricKey='cpuuser', value='83.673469', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='14.285714', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='2.040816', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:09:120[MetricValue{metricKey='cpuuser', value='80.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='16.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='4.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:09:716[MetricValue{metricKey='cpuuser', value='70.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='26.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='4.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:10:278[MetricValue{metricKey='cpuuser', value='76.595745', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='21.276596', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='2.127660', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:10:862[MetricValue{metricKey='cpuuser', value='78.431373', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='19.607843', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='1.960784', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:11:509[MetricValue{metricKey='cpuuser', value='77.551020', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='18.367347', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='4.081633', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:12:146[MetricValue{metricKey='cpuuser', value='72.916667', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='20.833333', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='4.166667', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='2.083333', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:12:762[MetricValue{metricKey='cpuuser', value='64.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='18.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='4.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='14.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:13:464[MetricValue{metricKey='cpuuser', value='70.370370', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='25.925926', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='3.703704', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
