11:33:08:502[MetricValue{metricKey='freepct-/', value='24.383659', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923152.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:09:120[MetricValue{metricKey='freepct-/', value='24.383258', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923104.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:09:716[MetricValue{metricKey='freepct-/', value='24.382491', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923012.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:10:278[MetricValue{metricKey='freepct-/', value='24.381390', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2922880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:10:862[MetricValue{metricKey='freepct-/', value='24.381356', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2922876.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:11:508[MetricValue{metricKey='freepct-/', value='24.381323', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2922872.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:12:146[MetricValue{metricKey='freepct-/', value='24.381189', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2922856.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:12:762[MetricValue{metricKey='freepct-/', value='24.381023', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2922836.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:13:459[MetricValue{metricKey='freepct-/', value='24.380856', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2922816.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
